,track_id,mp3_path,duration,tags,ambiental,ballad,calm,christmas,cool,dark,deep,dream,emotional,energetic,fun,groovy,happy,holiday,hopeful,inspiring,love,meditative,melancholic,mellow,melodic,motivational,party,positive,powerful,relaxing,retro,romantic,sad,slow,soft,sport,summer,upbeat,uplifting
0,track_0012100,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/12100.mp3,198.3,['energetic'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,track_0012101,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//01/12101.mp3,237.4,['energetic'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,track_0012102,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//02/12102.mp3,202.5,['energetic'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,track_0012303,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//03/12303.mp3,331.9,['retro'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,track_0013400,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/13400.mp3,204.9,['ballad'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,track_0016000,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/16000.mp3,162.7,"['powerful', 'upbeat']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6,track_0019202,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//02/19202.mp3,310.9,['meditative'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,track_0019203,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//03/19203.mp3,254.8,['meditative'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,track_0021502,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//02/21502.mp3,105.9,"['fun', 'positive']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,track_0022101,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//01/22101.mp3,187.1,['dark'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,track_0026403,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//03/26403.mp3,176.5,['inspiring'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,track_0026404,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//04/26404.mp3,171.4,"['emotional', 'romantic']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,track_0047400,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/47400.mp3,268.1,['dream'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,track_0047401,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//01/47401.mp3,296.0,['dream'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,track_0047402,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//02/47402.mp3,124.5,['dream'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,track_0047403,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//03/47403.mp3,87.9,['dream'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,track_0047404,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//04/47404.mp3,62.5,"['dream', 'melancholic']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,track_0049100,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/49100.mp3,276.0,['meditative'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,track_0078304,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//04/78304.mp3,228.5,"['emotional', 'melodic']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,track_0080500,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/80500.mp3,129.3,['mellow'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,track_0080501,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//01/80501.mp3,193.6,['mellow'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,track_0080502,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//02/80502.mp3,129.0,['mellow'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,track_0080503,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//03/80503.mp3,153.1,['mellow'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,track_0080504,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//04/80504.mp3,111.9,['mellow'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,track_0086200,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/86200.mp3,122.8,['calm'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,track_0095400,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/95400.mp3,97.0,['dark'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,track_0114200,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/114200.mp3,244.8,['relaxing'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,track_0114201,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//01/114201.mp3,291.4,['relaxing'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,track_0116600,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/116600.mp3,703.8,['meditative'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,track_0117800,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/117800.mp3,259.0,['meditative'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,track_0128300,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/128300.mp3,90.1,"['calm', 'dream', 'emotional']",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,track_0128301,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//01/128301.mp3,130.5,"['calm', 'emotional']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,track_0133600,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/133600.mp3,165.0,"['energetic', 'sport']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,track_0141800,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/141800.mp3,461.4,['deep'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,track_0146600,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/146600.mp3,240.4,['dream'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,track_0146602,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//02/146602.mp3,218.0,['dream'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,track_0147504,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//04/147504.mp3,321.9,['retro'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,track_0153400,/home/elise/Downloads/mtg-jamendo-dataset-master/audios//00/153400.mp3,290.7,['meditative'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
